"species";"lookup";"match"
"– E. coccinea (SIMS) G. DONBem.: Die nah";"Orangerote E. – E. coccinea (SIMS) G. DONBem.: Die nah";"Z s"
"– E. acraeus D. M. HEND.1* Bl fiederteil";"Klippen-G. – E. acraeus D. M. HEND.1* Bl fiederteil";"Z s"
"– E. pectinatus (L.) CASS.";"Kamm-G. – E. pectinatus (L.) CASS.";"Z s"
"– E. abrotanifolius (L.) DC. [E. athanas";"Eberrauten-G. – E. abrotanifolius (L.) DC. [E. athanas";"Z v"
"– St. tagetes (L.) SCHLTR.";"Tagetesähnliches B. – St. tagetes (L.) SCHLTR.";"Z s"
"– S. viravira HIERON.";"Pelziges G. – S. viravira HIERON.";"Z s"
"– S. cineraria DC.";"Silber-G., Aschenblume – S. cineraria DC.";"Z v"
"– S. incanus L.Ähnlich: Weißblättriges G";"Weißgraues G. – S. incanus L.Ähnlich: Weißblättriges G";"Z z"
"– S. pulcher HOOK. et ARN.6 (4) Bl nicht";"Schönes G. – S. pulcher HOOK. et ARN.6 (4) Bl nicht";"Z s"
"– S. doronicum (L.) L.7* Bl gestielt, br";"Gämswurz-G. – S. doronicum (L.) L.7* Bl gestielt, br";"Z s"
"– S. petasitis (SIMS) DC.";"Samt-G. – S. petasitis (SIMS) DC.";"Z s"
"– S. abrotanifolius L.Ähnlich: Adonis-G.";"Eberrauten-G., Bärenkraut – S. abrotanifolius L.Ähnlich: Adonis-G.";"Z z"
"– S. flettii WIEGANDBem.: Zu einigen seh";"Flett-G. – S. flettii WIEGANDBem.: Zu einigen seh";"Z s"
"– L. dentata (A. GRAY) HARA";"Gezähnter G. – L. dentata (A. GRAY) HARA";"Z z"
"– L. hodgsonii HOOK.";"Hodgson-G. – L. hodgsonii HOOK.";"Z s"
"– L. × yoshizoeana (MAKINO) KITAM.4* BlS";"Palmblatt-G. – L. × yoshizoeana (MAKINO) KITAM.4* BlS";"Z z"
"– L. przewalskii (MAXIM.) DIELS";"Przewalski-G. – L. przewalskii (MAXIM.) DIELS";"Z s"
"– L. macrophylla (LEDEB.) DC.Ähnlich: Al";"Großblatt-G. – L. macrophylla (LEDEB.) DC.Ähnlich: Al";NA
"– L. stenocephala (MAXIM.) MATSUM. et KO";"Schmalköpfiger G. – L. stenocephala (MAXIM.) MATSUM. et KO";"Z s"
"– L. wilsoniana (HEMSL.) GREENM.Ähnlich:";"Wilson-G. – L. wilsoniana (HEMSL.) GREENM.Ähnlich:";"Z s"
"– L. veitchiana (HEMSL.) GREENM.";"Veitch-G. – L. veitchiana (HEMSL.) GREENM.";"Z s"
"– S. tangutica (MAXIM.) B. NORD.";"Chinagreiskraut, Tangutisches Greiskraut – S. tangutica (MAXIM.) B. NORD.";"Z s"
"– O. barberiae (HARV.) NORL.Sehr ähnlich";"Barber-P. – O. barberiae (HARV.) NORL.Sehr ähnlich";"Z s"
"ittersporne – D. × cultorum VOSS (Abb. 1";"Garten-R ittersporne – D. × cultorum VOSS (Abb. 1";NA
"– D. pluvialis (L.) MOENCH";"Regenzeigende K. – D. pluvialis (L.) MOENCH";NA
". – D. sinuata DC.";"Buschige K . – D. sinuata DC.";NA
"– U. speciosa DC.";"Schöne B. – U. speciosa DC.";NA
"– U. anethoides (DC.) N. E. BR.2* Bl 20–";"Dillblättrige B. – U. anethoides (DC.) N. E. BR.2* Bl 20–";"Z z"
"– U. anthemoides (L.) POIR.";"Bunte B. – U. anthemoides (L.) POIR.";"Z z"
"– A. breviscapa THUNB.";"Kurzstängliges B. – A. breviscapa THUNB.";NA
"– A. acaulis L";"Stängelloses B. – A. acaulis L";"Z s"
"– A. venusta NORL.";"Anmutiges B. – A. venusta NORL.";"Z s"
"– A. fastuosa JACQ.Kult meist Hybriden A";"Prächtiges B. – A. fastuosa JACQ.Kult meist Hybriden A";"Z s"
"– G. rigens (L.) R. BR.1* Pfl (fast) stä";"Halbstrauch-G., Starre G. – G. rigens (L.) R. BR.1* Pfl (fast) stä";"Z z"
"– G. linearis (THUNB.) DRUCE";"Borstenschuppige G. – G. linearis (THUNB.) DRUCE";"Z s"
"– G. krebsiana LESS.Bem.: Kult fast nur ";"Krebs-G. – G. krebsiana LESS.Bem.: Kult fast nur ";"Z z"
"– E. sphaerocephalus L.Bem.: Die bisweil";"Drüsige K. – E. sphaerocephalus L.Bem.: Die bisweil";"Z v"
"– E. ritro L.";"Gewöhnliche K., Blaue K. – E. ritro L.";"Z z"
"– E. humilis M. BIEB.";"Niedrige K. – E. humilis M. BIEB.";NA
"– E. exaltatus SCHRAD.4* Bl oseits zerst";"Drüsenlose K. – E. exaltatus SCHRAD.4* Bl oseits zerst";"Z s"
"– E. bannaticus ROCHEL ex SCHRAD.";"Banater K. – E. bannaticus ROCHEL ex SCHRAD.";"Z s"
"– C. acaulis L.1* HüllBlStrahlen strohge";"Große E., Silberdistel, Wetterdistel – C. acaulis L.1* HüllBlStrahlen strohge";NA
"– C. vulgaris L.";"Kleine E., Gewöhnliche Golddistel – C. vulgaris L.";"Z s"
"– C. acanthifolia ALL.";"Akanthusblättrige E., Stängellose Golddistel – C. acanthifolia ALL.";"Z s"
"– S. discolor (WILLD.) DC.2* Bl useits l";"Zweifarbige A. – S. discolor (WILLD.) DC.2* Bl useits l";"Z v"
"– J. alata (DESF.) CASS.Sehr selten kult";"Geflügelte S. – J. alata (DESF.) CASS.Sehr selten kult";"Z s"
"– J. moschus (HABLITZ) BOBROV";"Duftende Z. – J. moschus (HABLITZ) BOBROV";"Z s"
"– C. defloratus L.Bem.: In trockenen Nat";"Berg-D. – C. defloratus L.Bem.: In trockenen Nat";"Z s"
"– C. eriophorum (L.) SCOP.";"Wollkopf-K. – C. eriophorum (L.) SCOP.";"Z v"
"– C. acaule SCOP.2* Pfl >30 cm hoch, ein";"Stängellose K. – C. acaule SCOP.2* Pfl >30 cm hoch, ein";"Z s"
"– C. helenioides (L.) HILL3* Bl useits g";"Verschiedenblättrige K., Alantdistel – C. helenioides (L.) HILL3* Bl useits g";"Z s"
"– C. rivulare (JACQ.) ALL.";"Bach-K. – C. rivulare (JACQ.) ALL.";"Z s"
"– N. subsessilis MAXIM.: BStand ± dicht,";"Japanische K. – N. subsessilis MAXIM.: BStand ± dicht,";NA
", Riesen-M. – E. giganteum M. BIEB.";"Elfenbeindistel , Riesen-M. – E. giganteum M. BIEB.";NA
"– C. cardunculus L., Cardy-Gruppe1* Rose";"Gemüse-A., Kardone, Kardy – C. cardunculus L., Cardy-Gruppe1* Rose";NA
"– S. marianum (L.) GAERTN.";"Gewöhnliche M. – S. marianum (L.) GAERTN.";"N s"
"– O. acaulon L.1* Pfl >30 cm hoch  . . .";"Stängellose E. – O. acaulon L.1* Pfl >30 cm hoch  . . .";NA
"– O. acanthium L.Ähnlich: Illyrische E. ";"Gewöhnliche E. – O. acanthium L.Ähnlich: Illyrische E. ";NA
"– O. bracteatum BOISS. et HELDR.: HüllBl";"Brakteen-E. – O. bracteatum BOISS. et HELDR.: HüllBl";"Z s"
"– O. nervosum BOISS.Ähnlich: Krim-E. – O";"Starknervige E. – O. nervosum BOISS.Ähnlich: Krim-E. – O";"Z z"
"– S. tinctoria L.";"Färber-Sch. – S. tinctoria L.";"Z s"
"– C. bella TRAUTV.Ähnlich, wohl nur Unte";"Zierliche Silber-F. – C. bella TRAUTV.Ähnlich, wohl nur Unte";"Z s"
"– C. pulcherrima WILLD.4* Pappus ± 1 mm ";"Silber-F., Schönste F. – C. pulcherrima WILLD.4* Pappus ± 1 mm ";"Z s"
"– C. dealbata WILLD.Bem.: Pfl mit einfac";"Zweifarbige F. – C. dealbata WILLD.Bem.: Pfl mit einfac";"Z z"
"– C. cheiranthifolia WILLD.5* Stg aufrec";"Goldlackblättrige F., Gelbviolette F. – C. cheiranthifolia WILLD.5* Stg aufrec";"Z z"
"– C. ragusina L.";"Ragusa-F. – C. ragusina L.";"Z s"
"– C. cineraria L.";"Ascheweiße F. – C. cineraria L.";"Z s"
"– C. scabiosa L.";"Skabiosen-F. – C. scabiosa L.";"Z s"
"– C. orientalis L.";"Morgenländische F. – C. orientalis L.";"Z s"
"– C. ruthenica LAM.";"Ukrainische F. – C. ruthenica LAM.";"Z s"
"– C. macrocephala MUSS.PUSCHK. ex WILLD.";"Großköpfige F., Riesen-F. – C. macrocephala MUSS.PUSCHK. ex WILLD.";"Z s"
"– C. americana NUTT.11* RandB blau, bei ";"Amerikanische F. – C. americana NUTT.11* RandB blau, bei ";"Z s"
"– A. moschata (L.) DC.";"Duftende B., Moschusflockenblume – A. moschata (L.) DC.";"Z v"
"– Ch. glastifolia (L.) CASS.";"Waidblättrige Ch., Waidflockenblume – Ch. glastifolia (L.) CASS.";"Z s"
"– C. benedictus L.";"Benediktenkraut, Bitterdistel, Kardobenedikte – C. benedictus L.";"Z s"
"– C. tinctorius L.";"Färber-S., Färberdistel, Falscher Safran – C. tinctorius L.";NA
"– C. caerulea L.Ähnlich: Gelbe R. – C. l";"Blaue R., Amorpfeil – C. caerulea L.Ähnlich: Gelbe R. – C. l";NA
"– A. foetida (L.) LESS.Ferkelkraut – Hyp";"Hainsalat, Stinksalat – A. foetida (L.) LESS.Ferkelkraut – Hyp";"Z s"
"– H. uniflora VILL.";"Einköpfiges F. – H. uniflora VILL.";"Z s"
"– C. intybus L.";"Zichorie, Wegwarte, Chikoree, Radicchio – C. intybus L.";NA
". – U. dalechampii (L.) SCOP. ex F. W. S";"Weichhaariges Sch . – U. dalechampii (L.) SCOP. ex F. W. S";NA
". – A. agardhii HAENS. ex DC.Bocksbart –";"Agardh-A . – A. agardhii HAENS. ex DC.Bocksbart –";NA
"– T. porrifolius L.Schwarzwurzel – Scorz";"Gemüse-Haferwurz – T. porrifolius L.Schwarzwurzel – Scorz";NA
"– S. purpurea L.";"Violette Sch. – S. purpurea L.";"Z s"
"– C. macrocephala (WILLD.) WALLR.";"Großblättriger M. – C. macrocephala (WILLD.) WALLR.";"Z s"
"– S. palustris L.";"Sumpf-G. – S. palustris L.";"Z s"
"– L. virosa L.";"Gift-L. – L. virosa L.";NA
"– L. sativa L.∞ Sorten in 2 Übergruppen:";"Garten-Salat – L. sativa L.∞ Sorten in 2 Übergruppen:";"N v"
"– C. rubra L.";"Roter P. – C. rubra L.";"Z s"
"– C. incana SIBTH. et SM.3 (1) B oranger";"Grauer P. – C. incana SIBTH. et SM.3 (1) B oranger";"Z s"
"– C. aurea (L.) CASS.";"Gold-P. – C. aurea (L.) CASS.";"Z s"
"– C. terglouensis (HACQ.) A. KERN.4* Stg";"Triglav-P. – C. terglouensis (HACQ.) A. KERN.4* Stg";"Z s"
"– C. jacquinii TAUSCH5* Bl nur am Stg, n";"Felsen-P. – C. jacquinii TAUSCH5* Bl nur am Stg, n";"Z s"
", Habmichlieb – P. minima L.9* Bl lanzet";"Zwerg-P. , Habmichlieb – P. minima L.9* Bl lanzet";NA
"– C. pyrenaica (L.) GREUTER";"Pyrenäen-P., Schabenkraut-P. – C. pyrenaica (L.) GREUTER";NA
"– H. pilosella L.";"Kleines H., Mausohr-H. – H. pilosella L.";"Z z"
"– H. stoloniflorum WALDST. et KIT.";"Läuferblütiges H. – H. stoloniflorum WALDST. et KIT.";"Z s"
"– H. aurantiacum L.";"Orangerotes H. – H. aurantiacum L.";"Z v"
". – H. mixtum FROEL.";"Seidiges H . – H. mixtum FROEL.";NA
"– C. tomentosum L.Ähnlich: Bieberstein-H";"Filziges H. – C. tomentosum L.Ähnlich: Bieberstein-H";NA
"– H. waldsteinii TAUSCH";"Waldstein-H. – H. waldsteinii TAUSCH";"Z v"
"– H. villosum JACQ.7* Hülle zylindrisch,";"Woll-H. – H. villosum JACQ.7* Hülle zylindrisch,";"Z s"
"– H. glaucinum JORD.";"Frühblühendes H. – H. glaucinum JORD.";"Z s"
"– H. umbellatum L.";"Dolden-H. – H. umbellatum L.";"Z s"
"– A. calamus L.";"Gewöhnlicher K. – A. calamus L.";"Z z"
"– A. gramineus SOL.";"Zwerg-K., Gras-K. – A. gramineus SOL.";"Z s"
"– A. tomentosa L.12* Strahlen 2–3mm lg, ";"Gelbe Sch. – A. tomentosa L.12* Strahlen 2–3mm lg, ";NA
"– C. palustris L.";"Schlangenwurz, Sumpfkalla, Schweinsohr – C. palustris L.";"Z s"
"– Z. albomaculata (HOOK. f.) BAILL.Ähnli";"Gefleckte C. – Z. albomaculata (HOOK. f.) BAILL.Ähnli";"Z s"
"– Z. elliottiana (WATSON) ENGL.: BlSprei";"Elliott-C. – Z. elliottiana (WATSON) ENGL.: BlSprei";"Z s"
"– P. virginica (L.) SCHOTT1* BlSpreite 8";"Grüner P., Wasseraronstab, Virginisches Pfeilblatt – P. virginica (L.) SCHOTT1* BlSpreite 8";"Z s"
"– P. sagittifolia (MICHX.) MORONG";"Weißer P. – P. sagittifolia (MICHX.) MORONG";"Z s"
"– A. creticum BOISS. et HELDR.";"Kretischer A. – A. creticum BOISS. et HELDR.";"Z s"
"– A. dioscoridis SM. in SIBTH. et SM.Ähn";"Dioscorides-A. – A. dioscoridis SM. in SIBTH. et SM.Ähn";"Z s"
"– A. orientale M. BIEB.3* Rhizomknolle w";"Östlicher A. – A. orientale M. BIEB.3* Rhizomknolle w";"Z s"
"– A. maculatum L.Ähnlich: Südöstlicher A";"Gefleckter A. – A. maculatum L.Ähnlich: Südöstlicher A";"Z z"
"– A. italicum MILL. ";"Italienischer A. – A. italicum MILL. ";"Z z"
"– P. ternata (THUNB.) BREITENB.";"Dreizählige P. – P. ternata (THUNB.) BREITENB.";"Z s"
"– P. tripartita (BL.) SCHOTT";"Dreigeteilte P. – P. tripartita (BL.) SCHOTT";"Z s"
"– A. consanguineum SCHOTTBem.: Nach Flor";"Chinesischer F. – A. consanguineum SCHOTTBem.: Nach Flor";"Z s"
"– A. griffithii SCHOTT";"Griffith-F., Kobralilie – A. griffithii SCHOTT";"Z s"
"– A. dracontium (L.) SCHOTT";"Drachen-F., Grüner Drache – A. dracontium (L.) SCHOTT";"Z s"
"– A. candidissimum W. W. SM.";"Duftender F. – A. candidissimum W. W. SM.";"Z s"
"– A. sikokianum FRANCH. et SAV.6* Kolben";"Shikoku-F. – A. sikokianum FRANCH. et SAV.6* Kolben";"Z s"
"– A. flavum (FORSSK.) SCHOTT7* Spatha > ";"Gelbgrüner F. – A. flavum (FORSSK.) SCHOTT7* Spatha > ";"Z s"
"– A. triphyllum (L.) TORR.8* Bl fußfg (3";"Dreiblättriger F. – A. triphyllum (L.) TORR.8* Bl fußfg (3";"Z s"
"– A. amurense MAXIM.Bem. Die Selbständig";"Amur- F. – A. amurense MAXIM.Bem. Die Selbständig";"Z s"
"– S. latifolia WILLD.1* Pfeillappen der ";"Breitblättriges Pf., Veränderliches Pf. – S. latifolia WILLD.1* Pfeillappen der ";"Z s"
"– S. sagittifolia L.Bem.: Weitere Arten ";"Gewöhnliches Pf. – S. sagittifolia L.Bem.: Weitere Arten ";"Z v"
"– A. gramineum LEJ.";"Grasblättriger F. – A. gramineum LEJ.";"Z s"
"– A. lanceolatum WITH.2* Spreite der Luf";"Lanzett-F. – A. lanceolatum WITH.2* Spreite der Luf";"Z s"
", Spitzlappiger F. – A. vulgaris L. em. ";"Gewöhnlicher F. , Spitzlappiger F. – A. vulgaris L. em. ";NA
"– A. subcordatum RAF.";"Kleinblütiger F. – A. subcordatum RAF.";NA
"– L. natans (L.) RAF.";"Froschkraut, Schwimmlöffel – L. natans (L.) RAF.";"Z s"
"– E. densa PLANCH.";"Dichte W., Dichtblättrige W. – E. densa PLANCH.";"Z s"
"– E. canadensis MICHX.";"Kanadische W. – E. canadensis MICHX.";"Z v"
"– E. nutallii (PLANCH.) H. ST. JOHN";"Nuttall-W. – E. nutallii (PLANCH.) H. ST. JOHN";"Z s"
"– E. callitrichoides (RICH.) CASP.";"Argentinische W., Wasserstern-W. – E. callitrichoides (RICH.) CASP.";"Z s"
"– A. distachyos L. f.";"Kap.-W., Afrikanische W. – A. distachyos L. f.";"Z s"
"– P. natans L.";"Schwimmendes L. – P. natans L.";"Z s"
"– P. pectinatus L.2* Bl rundlich bis län";"Kamm-L. – P. pectinatus L.2* Bl rundlich bis län";NA
"– P. perfoliatus L.3* Bl länglich, 5–10(";"Durchwachsenes L. – P. perfoliatus L.3* Bl länglich, 5–10(";"Z z"
"– P. crispus L.";"Krauses L. – P. crispus L.";"Z z"
"– D. nipponica MAKINO";"Fünflappige Y. – D. nipponica MAKINO";"Z s"
"– D. polystachya TURCZ.";"Chinesische Y. – D. polystachya TURCZ.";"Z s"
"– D. balcanica KOŠANIN3* Bl useits beha";"Balkan-Y. – D. balcanica KOŠANIN3* Bl useits beha";"Z s"
"– D. caucasica LIPSKY";"Kaukasus-Y. – D. caucasica LIPSKY";"Z s"
"– V. nigrum L.";"Schwarzer G. – V. nigrum L.";"Z s"
"– V. maackii REGEL";"Maack- G. – V. maackii REGEL";"Z s"
"– V. viride AITON";"Grüner G. – V. viride AITON";"Z z"
". – V. californicum DURAND";"Kalifornischer G . – V. californicum DURAND";NA
"– V. album L.";"Weißer G. – V. album L.";NA
"– M. virginicum L.Ähnlich: Breitblättrig";"Virginia-M. – M. virginicum L.Ähnlich: Breitblättrig";"Z s"
"– Z. elegans PURSH";"Weiße J. – Z. elegans PURSH";"Z s"
"– Z. fremontii (TORR.) TORR. ex S. WATSO";"Fremont-J. – Z. fremontii (TORR.) TORR. ex S. WATSO";"Z s"
"– Z. venenosus S. WATSON";"Gift-J. – Z. venenosus S. WATSON";"Z s"
"– Z. nuttallii A. GRAY";"Nuttall-J. – Z. nuttallii A. GRAY";"Z s"
"– St. gramineum (KER GAWL.) MORONG";"Gras-St., Federglocke – St. gramineum (KER GAWL.) MORONG";"Z s"
". – D. polyphylla (SM.) RAF.Dreiblatt, W";"Vielblättriges Qu . – D. polyphylla (SM.) RAF.Dreiblatt, W";NA
"– T. recurvatum L. C. BECK";"Prärie-D. – T. recurvatum L. C. BECK";NA
"– T. sessile L.";"Kröten-D. – T. sessile L.";"Z s"
". – T. chloropetalum (TORR.) HOWELL5 (3)";"Grünblütiges D . – T. chloropetalum (TORR.) HOWELL5 (3)";NA
"– T. luteum (MUHL.) HARB.";"Gelbes D. – T. luteum (MUHL.) HARB.";NA
"– T. cuneatum RAF.";"Keiliges D. – T. cuneatum RAF.";"Z s"
"– T. kurabayashii J. D. FREEMAN";"Geschecktes D. – T. kurabayashii J. D. FREEMAN";"Z s"
"– T. cernuum L.";"Nickendes D. – T. cernuum L.";"Z s"
"– T. catesbaei ELLIOTT";"Rosa D. – T. catesbaei ELLIOTT";"Z s"
"– T. nivale RIDDELL9* Pfl 20–45 cm hoch.";"Kleines D. – T. nivale RIDDELL9* Pfl 20–45 cm hoch.";"Z s"
"– T. undulatum WILLD.";"Gewelltes D. – T. undulatum WILLD.";"Z s"
"– T. grandiflorum (MICHX.) SALISB.11* B ";"Großblütiges D. – T. grandiflorum (MICHX.) SALISB.11* B ";"Z s"
". – T. erectum L.";"Stinkendes D . – T. erectum L.";NA
"– A. psittacina LEHM.2* Strahlen des BSt";"Papageien-I. – A. psittacina LEHM.2* Strahlen des BSt";NA
"– A. versicolor RUIZ et PAV.3 (1) B einz";"Verschiedenfarbige I. – A. versicolor RUIZ et PAV.3 (1) B einz";"Z s"
". – A. pelegrina L.3* Strahlen des BStan";"Küsten-I . – A. pelegrina L.3* Strahlen des BStan";NA
"– A. ligtu L. subsp. simsii (SPRENG.) E.";"Sims-I. – A. ligtu L. subsp. simsii (SPRENG.) E.";NA
"– A. ligtu L. subsp. incarnata E. BAYER6";"Rosa I. – A. ligtu L. subsp. incarnata E. BAYER6";"Z v"
"– A. ligtu L. subsp. ligtu6* Bl der BStg";"Gewöhnliche I. – A. ligtu L. subsp. ligtu6* Bl der BStg";"Z v"
"– A. aurea GRAHAM";"Goldne I. – A. aurea GRAHAM";"Z z"
"– C. bulbocodium KER GAWL.Ähnlich: Versc";"Frühlings-Lichtblume – C. bulbocodium KER GAWL.Ähnlich: Versc";"Z z"
"– C. montanum L.3* Staubbeutel in der Mi";"Berg-Z. – C. montanum L.3* Staubbeutel in der Mi";"Z s"
"– C. soboliferum (C. A. MEY.) STEF.4* Pf";"Sprossende Z. – C. soboliferum (C. A. MEY.) STEF.4* Pf";"Z s"
". – C. trigynum (ADAMS) STEARN";"Arche-Noah-Z . – C. trigynum (ADAMS) STEARN";NA
"– C. atticum TOMM.6 (2) Staubbeutel an i";"Attische Z. – C. atticum TOMM.6 (2) Staubbeutel an i";NA
". – C. luteum BAKER";"Gelbe Z . – C. luteum BAKER";NA
"– C. kesselringii REGEL";"Kesselring-Z. – C. kesselringii REGEL";NA
". – C. szovitsii FISCH. et C. A. MEY.9* ";"Vorfrühlings-Z., Szovits-Z . – C. szovitsii FISCH. et C. A. MEY.9* ";NA
"– C. hungaricum JANKA";"Ungarische Z. – C. hungaricum JANKA";NA
"– C. cilicicum (BOISS.) DAMMER";"Zilizische Z. – C. cilicicum (BOISS.) DAMMER";"Z s"
"– C. variegatum L.";"Späte Schachbrett-Herbstz. – C. variegatum L.";"Z z"
". – C. × agrippinum BAKER14 (12) Perigon";"Frühe Schachbrett-Herbstz . – C. × agrippinum BAKER14 (12) Perigon";NA
"– C. bivonae GUSS.14* Perigonzipfel mit ";"Balkan-Herbstz., Bivona-Herbstz. – C. bivonae GUSS.14* Perigonzipfel mit ";NA
"– C. bornmuelleri FREYN";"Riesen-Herbstzeitlose – C. bornmuelleri FREYN";"Z z"
". – C. speciosum STEVENÄhnlich: Persisch";"Prächtige Herbstz., Kaukasus-Herbstz . – C. speciosum STEVENÄhnlich: Persisch";NA
"– C. alpinum DC.";"Alpen-Herbstz. – C. alpinum DC.";NA
"– C. umbrosum STEVEN";"Schatten-Herbstz. – C. umbrosum STEVEN";"Z s"
"– C. albus (BENTH.) DOUGLAS ex BENTH.2* ";"Weiße M. – C. albus (BENTH.) DOUGLAS ex BENTH.2* ";"Z s"
"– T. turkestanica REGEL";"Turkestanische T. – T. turkestanica REGEL";"Z z"
"– T. biflora PALL.Ähnlich, wohl Unterart";"Zweiblütige T. – T. biflora PALL.Ähnlich, wohl Unterart";"Z z"
". – T. saxatilis SIEBER ex SPRENG.5* Kno";"Kandia-T . – T. saxatilis SIEBER ex SPRENG.5* Kno";NA
"– T. orphanidea BOISS. ex HELDR.Bem.: Be";"Orphanides-T. – T. orphanidea BOISS. ex HELDR.Bem.: Be";NA
"– T. urumiensis STAPF8* Stg über dem Bod";"Urmia-T. – T. urumiensis STAPF8* Stg über dem Bod";"Z z"
"– T. tarda STAPF";"Tarda-T., Stern-T. – T. tarda STAPF";"Z z"
"– T. dasystemon REGELSehr ähnlich: Neust";"Kleine Stern-T. – T. dasystemon REGELSehr ähnlich: Neust";NA
"– T. acuminata HORNEM.10* BHüllBl <5mal ";"Horn-T. – T. acuminata HORNEM.10* BHüllBl <5mal ";"Z s"
"– T. sprengeri BAKER";"Sprenger-T. – T. sprengeri BAKER";"Z s"
"– T. greigii REGELÄhnlich: Mogoltau-T. –";"Greig-T. – T. greigii REGELÄhnlich: Mogoltau-T. –";"Z z"
"– T. micheliana HOOG";"Micheli-T. – T. micheliana HOOG";"Z s"
"– T. praestans HOOGÄhnlich: Vvedenski-T.";"Vortreffliche T. – T. praestans HOOGÄhnlich: Vvedenski-T.";"Z z"
"– T. kaufmanniana REGEL16* Staubbeutel n";"Seerosen-Tulpe – T. kaufmanniana REGEL16* Staubbeutel n";"Z s"
"– T. lanata REGEL";"Woll-T. – T. lanata REGEL";"Z s"
"– T. tubergeniana T. M. HOOG19 (17) BHül";"Tubergen-T. – T. tubergeniana T. M. HOOG19 (17) BHül";"Z s"
"– T. undulatifolia BOISS.";"Wellblatt-T. – T. undulatifolia BOISS.";"Z z"
". – T. fosteriana HOOK. ex W. IRVINGÄhnl";"Foster-T . – T. fosteriana HOOK. ex W. IRVINGÄhnl";NA
"– T. ostrowskiana REGEL22* BHüllBl gelb,";"Ostrowski-T. – T. ostrowskiana REGEL22* BHüllBl gelb,";NA
"– T. kolpakowskiana REGELÄhnlich eine Re";"Kolpakowski-T. – T. kolpakowskiana REGELÄhnlich eine Re";"Z s"
"– T. linifolia REGELÄhnlich und auch als";"Leinblättrige T. – T. linifolia REGELÄhnlich und auch als";"Z s"
"– T. montana LINDL. [T. wilsoniana T. M.";"Berg-T. – T. montana LINDL. [T. wilsoniana T. M.";"Z s"
". – T. julia K. KOCH [T. montana LINDL. ";"Julia-T . – T. julia K. KOCH [T. montana LINDL. ";NA
"– T. clusiana DC.Ähnlich: Bergfreund-T. ";"Damen-T. – T. clusiana DC.Ähnlich: Bergfreund-T. ";NA
"– T. agenensis DC.Ähnlich, ebenfalls mit";"Sonnenaugen-T. – T. agenensis DC.Ähnlich, ebenfalls mit";"Z s"
"– T. armena BOISS.";"Armenische T. – T. armena BOISS.";"Z s"
"– T. gesneriana L.Kult Iran seit 13. Jh.";"Garten-T. – T. gesneriana L.Kult Iran seit 13. Jh.";"Z v"
". – G. grandiflorum BOISS. et HUET";"Großblütiger H . – G. grandiflorum BOISS. et HUET";NA
"– E. tuolumnense APPLEGATE";"Stern-H., Tuolumne-H. – E. tuolumnense APPLEGATE";NA
"– E. albidum NUTT.";"Weißlicher H. – E. albidum NUTT.";"Z s"
"– E. revolutum SM.";"Rosa H. – E. revolutum SM.";"Z s"
"– E. hendersonii S. WATSON";"Henderson- H. – E. hendersonii S. WATSON";"Z s"
"– E. dens-canis L.Ähnlich u. nahe verwan";"Europäischer H. – E. dens-canis L.Ähnlich u. nahe verwan";"Z z"
"– E. sibiricum (FISCH. et C. A. MEY.)KRY";"Sibirischer H. – E. sibiricum (FISCH. et C. A. MEY.)KRY";"Z s"
"– E. americanum KER GAWL.";"Ostamerikanischer H. – E. americanum KER GAWL.";"Z s"
"– E. caucasicum WORONOW9* B 1–3. BZeit A";"Kaukasus-H. – E. caucasicum WORONOW9* B 1–3. BZeit A";"Z s"
"– E. oregonum APPLEGATE10 (8) Griffel 5–";"Oregon-H. – E. oregonum APPLEGATE10 (8) Griffel 5–";"Z s"
"– G. flavum CRANTZ";"Gelber H. – G. flavum CRANTZ";NA
"– E. multiscapideum (KELLOGG) A. NELSON ";"Vielschäftiger H. – E. multiscapideum (KELLOGG) A. NELSON ";"Z s"
"– E. californicum PURDY";"Kalifornischer H. – E. californicum PURDY";"Z s"
"– F. eduardii REGEL [Petilium eduardii (";"Eduard-K. – F. eduardii REGEL [Petilium eduardii (";"Z v"
"– F. bucharica REGEL3* PerigonBl schmutz";"Buchara-F. – F. bucharica REGEL3* PerigonBl schmutz";"Z s"
"– F. stenanthera (REGEL) REGEL";"Sporn-F. – F. stenanthera (REGEL) REGEL";"Z s"
"– F. pluriflora TORR. ex BENTH.5* Griffe";"Tonlilie, Mehrblütige F. – F. pluriflora TORR. ex BENTH.5* Griffe";"Z s"
"– F. alburyana RIX6 (4) B außen u. innen";"Erzurum-Schachblume – F. alburyana RIX6 (4) B außen u. innen";"Z s"
"– F. aurea SCHOTT";"Goldei-F., Gold-Schachblume – F. aurea SCHOTT";"Z s"
"– F. collina ADAMS9 (7) Griffel bis auf ";"Schwefelgelbe Schachblume – F. collina ADAMS9 (7) Griffel bis auf ";"Z s"
"– F. pudica (PURSH) SPRENG.";"Schamhafte F. – F. pudica (PURSH) SPRENG.";"Z s"
"– F. carica RIX10* Bl 2–3, eifg-lanzettl";"Karische F. – F. carica RIX10* Bl 2–3, eifg-lanzettl";"Z s"
"– F. sibthorpiana (SM.) BAKER11 (6) Bl i";"Sibthorp-F. – F. sibthorpiana (SM.) BAKER11 (6) Bl i";"Z s"
"– F. pallidiflora SCHRENK13* Bl linealis";"Fahlblütige F. – F. pallidiflora SCHRENK13* Bl linealis";"Z s"
